"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",1,1,4,"Ambavala",1,1000,2.49752212957296e-05,24.9752212957296
"2","Ambavala_2",3,3,4,"Ambavala",2,1000,7.49256638871889e-05,74.9256638871888
"3","Ambavala_3",3,3,4,"Ambavala",3,1000,7.49256638871889e-05,74.9256638871888
"4","Ambodihasina_1",7,6,3,"Ambodihasina",1,1000,0.00023310206542681,233.10206542681
"5","Ambodihasina_2",2,2,3,"Ambodihasina",2,1000,6.66005901219456e-05,66.6005901219456
"6","Ambodihasina_3",2,2,3,"Ambodihasina",3,1000,6.66005901219456e-05,66.6005901219456
"7","Ambodimandresy_1",3,3,3,"Ambodimandresy",1,1000,9.99008851829185e-05,99.9008851829185
"8","Ambodimandresy_2",1,1,3,"Ambodimandresy",2,1000,3.33002950609728e-05,33.3002950609728
"9","Ambodimandresy_3",0,0,3,"Ambodimandresy",3,1000,0,0
"10","Ambodivoara_1",23,20,25,"Ambodivoara",1,860,0.000106870714381727,106.870714381727
"11","Ambodivoara_2",22,22,26,"Ambodivoara",2,1000,8.45315182317002e-05,84.5315182317002
"12","Ambodivoara_3",17,16,21,"Ambodivoara",3,1000,8.08721451480768e-05,80.8721451480769
"13","Ambodivoara_4",25,21,24,"Ambodivoara",4,1000,0.00010406342206554,104.06342206554
"14","Ambodivoara_5",3,3,3,"Ambodivoara",5,1000,9.99008851829185e-05,99.9008851829185
"15","AmbodivohitraKobahina_1",0,0,3,"AmbodivohitraKobahina",1,1000,0,0
"16","AmbodivohitraKobahina_2",3,3,3,"AmbodivohitraKobahina",2,1000,9.99008851829185e-05,99.9008851829185
"17","AmbodivohitraKobahina_3",2,2,3,"AmbodivohitraKobahina",3,1000,6.66005901219456e-05,66.6005901219456
"18","Androfiabe_1",4,4,8,"Androfiabe",1,1175,4.25110149714547e-05,42.5110149714547
"19","Androfiabe_2",2,2,8,"Androfiabe",2,1250,1.99801770365837e-05,19.9801770365837
"20","Androfiabe_3",7,7,8,"Androfiabe",3,1100,7.94666132136851e-05,79.4666132136851
"21","Antanambe_1",0,0,3,"Antanambe",1,1000,0,0
"22","Antanambe_2",4,4,3,"Antanambe",2,1000,0.000133201180243891,133.201180243891
"23","Antanambe_3",4,4,3,"Antanambe",3,1000,0.000133201180243891,133.201180243891
"24","Befamatra_1",3,3,3,"Befamatra",1,635,0.000157324228634517,157.324228634517
"25","Befamatra_2",1,1,3,"Befamatra",2,1065,3.12678826863595e-05,31.2678826863595
"26","Befamatra_3",0,0,3,"Befamatra",3,780,0,0
"27","Betaolana_1",4,4,3,"Betaolana",1,1300,0.000102462446341455,102.462446341455
"28","Betaolana_2",5,5,3,"Betaolana",2,1000,0.000166501475304864,166.501475304864
"29","Betaolana_3",7,7,3,"Betaolana",3,1200,0.000194251721189008,194.251721189008
