"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",6,3,4,"Ambavala",1,1000,0.000163294760379833,163.294760379833
"2","Ambavala_2",2,1,4,"Ambavala",2,1000,5.44315867932778e-05,54.4315867932778
"3","Ambavala_3",0,0,4,"Ambavala",3,1000,0,0
"4","Ambodihasina_1",3,3,3,"Ambodihasina",1,1000,0.000108863173586556,108.863173586556
"5","Ambodihasina_2",3,2,3,"Ambodihasina",2,1000,0.000108863173586556,108.863173586556
"6","Ambodihasina_3",4,1,3,"Ambodihasina",3,1000,0.000145150898115408,145.150898115408
"7","Ambodimandresy_1",1,1,3,"Ambodimandresy",1,1000,3.62877245288519e-05,36.2877245288519
"8","Ambodimandresy_2",0,0,3,"Ambodimandresy",2,1000,0,0
"9","Ambodimandresy_3",13,10,3,"Ambodimandresy",3,1000,0.000471740418875074,471.740418875075
"10","Ambodivoara_1",25,21,25,"Ambodivoara",1,860,0.000126585085565762,126.585085565762
"11","Ambodivoara_2",25,17,26,"Ambodivoara",2,1000,0.000104676128448611,104.676128448611
"12","Ambodivoara_3",7,5,21,"Ambodivoara",3,1000,3.62877245288519e-05,36.2877245288519
"13","Ambodivoara_4",33,22,24,"Ambodivoara",4,1000,0.000149686863681514,149.686863681514
"14","Ambodivoara_5",0,0,3,"Ambodivoara",5,1000,0,0
"15","AmbodivohitraKobahina_1",0,0,3,"AmbodivohitraKobahina",1,1000,0,0
"16","AmbodivohitraKobahina_2",2,1,3,"AmbodivohitraKobahina",2,1000,7.25754490577038e-05,72.5754490577038
"17","AmbodivohitraKobahina_3",12,6,3,"AmbodivohitraKobahina",3,1000,0.000435452694346223,435.452694346223
"18","Androfiabe_1",27,14,8,"Androfiabe",1,1175,0.000312692094344362,312.692094344362
"19","Androfiabe_2",4,3,8,"Androfiabe",2,1250,4.35452694346223e-05,43.5452694346223
"20","Androfiabe_3",5,3,8,"Androfiabe",3,1100,6.18540759014521e-05,61.8540759014521
"21","Antanambe_1",18,12,3,"Antanambe",1,1000,0.000653179041519334,653.179041519334
"22","Antanambe_2",6,4,3,"Antanambe",2,1000,0.000217726347173111,217.726347173111
"23","Antanambe_3",4,4,3,"Antanambe",3,1000,0.000145150898115408,145.150898115408
"24","Befamatra_1",0,0,3,"Befamatra",1,635,0,0
"25","Befamatra_2",3,2,3,"Befamatra",2,1065,0.000102218942334794,102.218942334794
"26","Befamatra_3",0,0,3,"Befamatra",3,780,0,0
"27","Betaolana_1",2,2,3,"Betaolana",1,1300,5.5827268505926e-05,55.827268505926
"28","Betaolana_2",0,0,3,"Betaolana",2,1000,0,0
"29","Betaolana_3",10,5,3,"Betaolana",3,1200,0.000302397704407099,302.397704407099
