"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",18,16,4,"Ambavala",1,1000,0.000222400702592987,222.400702592987
"2","Ambavala_2",10,10,4,"Ambavala",2,1000,0.000123555945884993,123.555945884993
"3","Ambavala_3",26,24,4,"Ambavala",3,1000,0.000321245459300982,321.245459300982
"4","Ambodihasina_1",5,5,3,"Ambodihasina",1,1000,8.23706305899954e-05,82.3706305899954
"5","Ambodihasina_2",3,6,3,"Ambodihasina",2,1000,4.94223783539972e-05,49.4223783539972
"6","Ambodihasina_3",4,7,3,"Ambodihasina",3,1000,6.58965044719963e-05,65.8965044719963
"7","Ambodimandresy_1",0,1,3,"Ambodimandresy",1,1000,0,0
"8","Ambodimandresy_2",5,4,3,"Ambodimandresy",2,1000,8.23706305899954e-05,82.3706305899954
"9","Ambodimandresy_3",4,6,3,"Ambodimandresy",3,1000,6.58965044719963e-05,65.8965044719963
"10","Ambodivoara_1",7,6,6,"Ambodivoara",1,860,6.70458621081358e-05,67.0458621081358
"11","Ambodivoara_2",37,36,8,"Ambodivoara",2,1000,0.000228578499887237,228.578499887237
"12","Ambodivoara_3",22,17,4,"Ambodivoara",3,1000,0.000271823080946985,271.823080946985
"13","Ambodivoara_4",20,17,4,"Ambodivoara",4,1000,0.000247111891769986,247.111891769986
"14","Ambodivoara_5",1,1,3,"Ambodivoara",5,1000,1.64741261179991e-05,16.4741261179991
"15","AmbodivohitraKobahina_1",0,6,3,"AmbodivohitraKobahina",1,1000,0,0
"16","AmbodivohitraKobahina_2",0,14,3,"AmbodivohitraKobahina",2,1000,0,0
"17","AmbodivohitraKobahina_3",0,11,3,"AmbodivohitraKobahina",3,1000,0,0
"18","Androfiabe_1",30,27,5,"Androfiabe",1,1175,0.000252369591594879,252.369591594879
"19","Androfiabe_2",19,18,5,"Androfiabe",2,1250,0.000150244030196152,150.244030196152
"20","Androfiabe_3",50,47,5,"Androfiabe",3,1100,0.000449294348672702,449.294348672702
"21","Antanambe_1",0,16,3,"Antanambe",1,1000,0,0
"22","Antanambe_2",0,16,3,"Antanambe",2,1000,0,0
"23","Antanambe_3",0,10,3,"Antanambe",3,1000,0,0
"24","Befamatra_1",6,13,3,"Befamatra",1,635,0.000155661034185818,155.661034185818
"25","Befamatra_2",0,4,3,"Befamatra",2,1065,0,0
"26","Befamatra_3",2,3,3,"Befamatra",3,780,4.22413490205104e-05,42.2413490205104
"27","Betaolana_1",0,0,NA,"Betaolana",1,1300,NA,NA
"28","Betaolana_2",0,0,NA,"Betaolana",2,1000,NA,NA
"29","Betaolana_3",0,0,NA,"Betaolana",3,1200,NA,NA
