"","OBJECTID_1","COUNT","AREA","MEAN","SUM","cov","Species","SiteTransect","Site","Transect"
"1",1,478,3.6882716049e-05,1153.48535564854,NA,"Elevation","Allocebus_trichotis","Ambodivoara_1","Ambodivoara",1
"2",2,403,3.1095679012e-05,1189.65508684864,NA,"Elevation","Allocebus_trichotis","Ambodihasina_1","Ambodihasina",1
"3",3,408,3.1481481481e-05,1082.3137254902,NA,"Elevation","Allocebus_trichotis","Ambodimandresy_2","Ambodimandresy",2
"4",4,450,3.4722222222e-05,1175.84666666667,NA,"Elevation","Allocebus_trichotis","Ambodivoara_3","Ambodivoara",3
"5",5,307,2.3688271605e-05,1086.27687296417,NA,"Elevation","Allocebus_trichotis","Ambodivoara_2","Ambodivoara",2
"6",6,526,4.0586419753e-05,1155.21292775665,NA,"Elevation","Allocebus_trichotis","Androfiabe_1","Androfiabe",1
"7",7,368,2.8395061728e-05,1190.64402173913,NA,"Elevation","Allocebus_trichotis","Ambodimandresy_3","Ambodimandresy",3
"8",8,384,2.962962963e-05,1232.8359375,NA,"Elevation","Allocebus_trichotis","Ambodihasina_3","Ambodihasina",3
"9",9,386,2.9783950617e-05,965.989637305699,NA,"Elevation","Allocebus_trichotis","Befamatra_1","Befamatra",1
"10",10,350,2.700617284e-05,1111.63714285714,NA,"Elevation","Allocebus_trichotis","Befamatra_3","Befamatra",3
"11",11,406,3.1327160494e-05,1189.05172413793,NA,"Elevation","Allocebus_trichotis","Androfiabe_3","Androfiabe",3
"12",12,427,3.2947530864e-05,1079.55971896955,NA,"Elevation","Allocebus_trichotis","Betaolana_3","Betaolana",3
"13",13,421,3.2484567901e-05,1118.15439429929,NA,"Elevation","Allocebus_trichotis","Ambodivoara_5","Ambodivoara",5
"14",14,393,3.0324074074e-05,1121.11450381679,NA,"Elevation","Allocebus_trichotis","Betaolana_2","Betaolana",2
"15",15,556,4.2901234568e-05,1152.76079136691,NA,"Elevation","Allocebus_trichotis","Betaolana_1","Betaolana",1
"16",16,438,3.3796296296e-05,1105.52054794521,NA,"Elevation","Allocebus_trichotis","Ambodivoara_4","Ambodivoara",4
"17",17,313,2.4151234568e-05,1254.22044728435,NA,"Elevation","Allocebus_trichotis","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"18",18,378,2.9166666667e-05,1133.19312169312,NA,"Elevation","Allocebus_trichotis","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"19",19,422,3.2561728395e-05,1074.74881516588,NA,"Elevation","Allocebus_trichotis","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"20",20,385,2.9706790123e-05,1097.5948051948,NA,"Elevation","Allocebus_trichotis","Befamatra_2","Befamatra",2
"21",21,495,3.8194444444e-05,1068.64646464646,NA,"Elevation","Allocebus_trichotis","Ambodimandresy_1","Ambodimandresy",1
"22",22,591,4.5601851852e-05,1172.4923857868,NA,"Elevation","Allocebus_trichotis","Antanambe_2","Antanambe",2
"23",23,409,3.1558641975e-05,1076.60391198044,NA,"Elevation","Allocebus_trichotis","Antanambe_3","Antanambe",3
"24",24,412,3.1790123457e-05,1068.72087378641,NA,"Elevation","Allocebus_trichotis","Androfiabe_2","Androfiabe",2
"25",25,515,3.9737654321e-05,1145.00194174757,NA,"Elevation","Allocebus_trichotis","Ambodihasina_2","Ambodihasina",2
"26",26,339,2.6157407407e-05,1390.46607669617,NA,"Elevation","Allocebus_trichotis","Antanambe_1","Antanambe",1
"27",27,536,4.1358024691e-05,1074.61940298507,NA,"Elevation","Allocebus_trichotis","Ambavala_1","Ambavala",1
"28",28,444,3.4259259259e-05,1130.62162162162,NA,"Elevation","Allocebus_trichotis","Ambavala_2","Ambavala",2
"29",29,624,4.8148148148e-05,1131.25961538462,NA,"Elevation","Allocebus_trichotis","Ambavala_3","Ambavala",3
"30",1,111,8.564814815e-06,1156.65765765766,NA,"Elevation","Avahi_laniger","Ambodivoara_1","Ambodivoara",1
"31",2,90,6.944444444e-06,1197.3,NA,"Elevation","Avahi_laniger","Ambodihasina_1","Ambodihasina",1
"32",3,74,5.709876543e-06,1076.52702702703,NA,"Elevation","Avahi_laniger","Ambodimandresy_2","Ambodimandresy",2
"33",4,125,9.645061728e-06,1185.736,NA,"Elevation","Avahi_laniger","Ambodivoara_3","Ambodivoara",3
"34",5,68,5.24691358e-06,1081.85294117647,NA,"Elevation","Avahi_laniger","Ambodivoara_2","Ambodivoara",2
"35",6,117,9.027777778e-06,1163.7094017094,NA,"Elevation","Avahi_laniger","Androfiabe_1","Androfiabe",1
"36",7,86,6.635802469e-06,1187.08139534884,NA,"Elevation","Avahi_laniger","Ambodimandresy_3","Ambodimandresy",3
"37",8,74,5.709876543e-06,1228.62162162162,NA,"Elevation","Avahi_laniger","Ambodihasina_3","Ambodihasina",3
"38",9,88,6.790123457e-06,977.965909090909,NA,"Elevation","Avahi_laniger","Befamatra_1","Befamatra",1
"39",10,76,5.864197531e-06,1115.13157894737,NA,"Elevation","Avahi_laniger","Befamatra_3","Befamatra",3
"40",11,78,6.018518519e-06,1182.0641025641,NA,"Elevation","Avahi_laniger","Androfiabe_3","Androfiabe",3
"41",12,92,7.098765432e-06,1093.14130434783,NA,"Elevation","Avahi_laniger","Betaolana_3","Betaolana",3
"42",13,120,9.259259259e-06,1125.95833333333,NA,"Elevation","Avahi_laniger","Ambodivoara_5","Ambodivoara",5
"43",14,96,7.407407407e-06,1120.59375,NA,"Elevation","Avahi_laniger","Betaolana_2","Betaolana",2
"44",15,115,8.87345679e-06,1171.11304347826,NA,"Elevation","Avahi_laniger","Betaolana_1","Betaolana",1
"45",16,87,6.712962963e-06,1116.85057471264,NA,"Elevation","Avahi_laniger","Ambodivoara_4","Ambodivoara",4
"46",17,70,5.401234568e-06,1269.07142857143,NA,"Elevation","Avahi_laniger","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"47",18,92,7.098765432e-06,1160.40217391304,NA,"Elevation","Avahi_laniger","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"48",19,104,8.024691358e-06,1072.42307692308,NA,"Elevation","Avahi_laniger","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"49",20,87,6.712962963e-06,1096.52873563218,NA,"Elevation","Avahi_laniger","Befamatra_2","Befamatra",2
"50",21,127,9.799382716e-06,1058.35433070866,NA,"Elevation","Avahi_laniger","Ambodimandresy_1","Ambodimandresy",1
"51",22,144,1.1111111111e-05,1170.98611111111,NA,"Elevation","Avahi_laniger","Antanambe_2","Antanambe",2
