,Lat,Long,Site,Type,Date,Jour,Mois,An,Transect,Repetition,Depart_h,Arrive_h,Obs_h,Nom_sientifique,Genus,Spp,Nom_vernaculari,N_ind,N_juv,N_ad,N_m,N_f,Elevation_obs,Angle,Dis,Hauteur,Comportement,Plante,Support,Commentaire,Photo_ID
1,-14.516306,49.430146,Ambodivoara,Diurnal,12/16/20,16,12,2020,1,1,13H 27M 0S,16H 18M 0S,14H 23M 0S,Propithecus_candidus,Propithecus,candidus,Simpona,3,1,2,1,1,1211,1.047197551,8,6,Alimentation/ deplacement,Rotro(Eugenia emirnense),Rotro(Eugenia emirnense), ,
460,0,0,Ambodihasina,Diurnal,1/28/22,28,1,2022,1,1,8H 31M 0S,11H 55M 0S,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,,NA
466,0,0,Ambodimandresy,Diurnal,3/19/22,19,3,2022,1,1,8H 51M 0S,13H 51M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
4,-14.52073,49.42725,Ambodivoara,Nocturnal,6/27/22,27,6,2022,3,5,0,0,0,Avahi_laniger,Avahi,laniger,Fotsife,1,NA,NA,NA,NA,1181,2.094395102,10,NA,RÃ©pos,NA,NA, ,NA
5,-14.52121,49.4296,Ambodivoara,Nocturnal,7/4/22,4,7,2022,3,6,0,0,0,Allocebus_trichotis,Allocebus,trichotis,Kandrandra,1,NA,NA,NA,NA,1206,4.241150082,7,NA,RÃ©pos,NA,NA, ,NA
428,0,0,Ambodivoara,Diurnal,12/17/20,17,12,2020,1,2,14H 25M 0S,16H 20M 0S,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,,
430,-14.51821,49.42974,Ambodivoara,Diurnal,12/19/20,19,12,2020,1,3,8H 40M 0S,11H 50M 0S,9H 11M 0S,Propithecus_candidus,Propithecus,candidus,Simpona,3,1,2,1,1,1122,0.34906585,25,10,Alimentation,"Vongo(Garcinia decipiens),Vaha kakazo",Vongo(Garcinia decipiens),,297-301
8,-14.47089,49.52608,Androfiabe,Nocturnal,8/6/21,6,8,2021,1,3,18H 44M 0S,21H 56M 0S,19H 29M 0S,Lepilemur_seali,Lepilemur,seali,Fitsidiky,1,0,1,NA,NA,1091,0.523598776,18,8,Repos,,Vongo,ÃƒÂ  l'extremitÃƒÂ© de la queu blanche,
9,-14.47095,49.52637,Androfiabe,Nocturnal,8/6/21,6,8,2021,1,3,18H 44M 0S,21H 56M 0S,20H 0M 0S,Lepilemur_seali,Lepilemur,seali,Fitsidiky,1,0,1,NA,NA,1089,1.047197551,25,16,Repos,,Tsimamasatsokiny,ÃƒÂ  l'extremitÃƒÂ© de la queu blanche,
468,0,0,Ambodimandresy,Diurnal,3/21/22,21,3,2022,1,2,7H 28M 0S,10H 36M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA
11,-14.561819,49.408543,Ambodihasina,Diurnal,1/30/22,30,1,2022,1,2,8H 10M 0S,11H 1M 0S, 8H 45M 0S,Eulemur_albifrons,Eulemur, albifrons, Komba tomboloha,7,1,6,2,4,1171.405518,0.610865238,15,10, DÃ©placement, Kabokala,,1 femelle porte bÃ©bÃ©,NA
12,-14.570583,49.403052,Ambodihasina,Nocturnal,1/31/22,31,1,2022,3,2,NA,NA,19H 24M 0S,Avahi_laniger,Avahi,laniger,Fotsife,4,1,3,NA,NA,1108,0.785398163,15,12,Repos,,Haramy,1 femelle porte bebe,NA
13,-14.47094,49.5271,Androfiabe,Nocturnal,8/6/21,6,8,2021,1,3,18H 44M 0S,21H 56M 0S,20H 10M 0S,Avahi_laniger,Avahi,laniger,Fotsife,2,0,2,1,1,1118,1.047197551,5,5,Repos,,Afotrankora,1 mÃƒÂ¢le: menamena mato ny rambony,
14,-14.425712,49.395608,Befamatra,Diurnal,11/28/21,28,11,2021,1,2,14H 44M 0S,17H 14M 0S,15H 48M 0S,Eulemur_rubriventer,Eulemur,rubriventer,Tongona,5,1,4,2,2,1241,1.047197551,12,10,Deplacement,NA,Kisaka,1 mere porte bebe,
15,-14.424196,49.38848,Befamatra,Diurnal,11/29/21,29,11,2021,3,3,7H 38M 0S,10H 7M 0S,8H 9M 0S,Eulemur_albifrons,Eulemur,albifrons,Komba tomboloha,7,1,6,3,3,1373,1.221730476,13,11,Deplacement,NA,Haramy,1 mere porte bebe,473-489
16,0,0,Androfiabe,Diurnal,7/30/21,30,7,2021,3,1,10H 0M 0S,12H 52M 0S,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,"1 trace de P. candidus sur tronc de Lomotra beraviny (Alt: 1094), et 1 trace de P. candidus sur tronc de Rotro (Alt: 1033) ",
17,0,0,Betaolana,Diurnal,6/9/21,9,6,2021,3,1,8H 20M 0S,10H 36M 0S,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1 trace de P. candidus{Alt: 1234m(380)}; 1 trace de sangulier{ Alt: 1228m(381)},NA
431,0,0,Ambodivoara,Diurnal,12/19/20,19,12,2020,1,3,14H 7M 0S,16H 20M 0S,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,,,
