"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",2,1,4,"Ambavala",1,1000,4.38680077747375e-05,43.8680077747375
"2","Ambavala_2",4,3,4,"Ambavala",2,1000,8.7736015549475e-05,87.736015549475
"3","Ambavala_3",4,2,4,"Ambavala",3,1000,8.7736015549475e-05,87.736015549475
"4","Ambodihasina_1",0,0,3,"Ambodihasina",1,1000,0,0
"5","Ambodihasina_2",0,0,3,"Ambodihasina",2,1000,0,0
"6","Ambodihasina_3",0,0,3,"Ambodihasina",3,1000,0,0
"7","Ambodimandresy_1",0,0,3,"Ambodimandresy",1,1000,0,0
"8","Ambodimandresy_2",2,1,3,"Ambodimandresy",2,1000,5.84906770329833e-05,58.4906770329833
"9","Ambodimandresy_3",2,2,3,"Ambodimandresy",3,1000,5.84906770329833e-05,58.4906770329833
"10","Ambodivoara_1",18,16,25,"Ambodivoara",1,860,7.34534083670023e-05,73.4534083670023
"11","Ambodivoara_2",17,16,26,"Ambodivoara",2,1000,5.73658563208106e-05,57.3658563208106
"12","Ambodivoara_3",32,32,21,"Ambodivoara",3,1000,0.00013369297607539,133.69297607539
"13","Ambodivoara_4",17,17,24,"Ambodivoara",4,1000,6.21463443475448e-05,62.1463443475448
"14","Ambodivoara_5",2,1,3,"Ambodivoara",5,1000,5.84906770329833e-05,58.4906770329833
"15","AmbodivohitraKobahina_1",4,4,3,"AmbodivohitraKobahina",1,1000,0.000116981354065967,116.981354065967
"16","AmbodivohitraKobahina_2",4,4,3,"AmbodivohitraKobahina",2,1000,0.000116981354065967,116.981354065967
"17","AmbodivohitraKobahina_3",11,8,3,"AmbodivohitraKobahina",3,1000,0.000321698723681408,321.698723681408
"18","Androfiabe_1",13,11,8,"Androfiabe",1,1175,0.000121337042781189,121.337042781189
"19","Androfiabe_2",22,20,8,"Androfiabe",2,1250,0.000193019234208845,193.019234208845
"20","Androfiabe_3",7,7,8,"Androfiabe",3,1100,6.97900123689006e-05,69.7900123689006
"21","Antanambe_1",2,2,3,"Antanambe",1,1000,5.84906770329833e-05,58.4906770329833
"22","Antanambe_2",8,6,3,"Antanambe",2,1000,0.000233962708131933,233.962708131933
"23","Antanambe_3",2,2,3,"Antanambe",3,1000,5.84906770329833e-05,58.4906770329833
"24","Befamatra_1",0,0,3,"Befamatra",1,635,0,0
"25","Befamatra_2",1,1,3,"Befamatra",2,1065,2.74604117525743e-05,27.4604117525743
"26","Befamatra_3",0,0,3,"Befamatra",3,780,0,0
"27","Betaolana_1",2,2,3,"Betaolana",1,1300,4.49928284869102e-05,44.9928284869102
"28","Betaolana_2",6,5,3,"Betaolana",2,1000,0.00017547203109895,175.47203109895
"29","Betaolana_3",4,4,3,"Betaolana",3,1200,9.74844617216389e-05,97.4844617216389
