"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",4,4,4,"Ambavala",1,1000,0.000124822107707248,124.822107707248
"2","Ambavala_2",6,6,4,"Ambavala",2,1000,0.000187233161560872,187.233161560872
"3","Ambavala_3",2,2,4,"Ambavala",3,1000,6.24110538536241e-05,62.4110538536241
"4","Ambodihasina_1",0,0,3,"Ambodihasina",1,1000,0,0
"5","Ambodihasina_2",1,1,3,"Ambodihasina",2,1000,4.16073692357494e-05,41.6073692357494
"6","Ambodihasina_3",0,0,3,"Ambodihasina",3,1000,0,0
"7","Ambodimandresy_1",1,1,3,"Ambodimandresy",1,1000,4.16073692357494e-05,41.6073692357494
"8","Ambodimandresy_2",2,2,3,"Ambodimandresy",2,1000,8.32147384714989e-05,83.2147384714989
"9","Ambodimandresy_3",10,10,3,"Ambodimandresy",3,1000,0.000416073692357494,416.073692357494
"10","Ambodivoara_1",29,29,25,"Ambodivoara",1,860,0.000168364703419079,168.364703419079
"11","Ambodivoara_2",22,21,26,"Ambodivoara",2,1000,0.000105618706521518,105.618706521518
"12","Ambodivoara_3",25,25,21,"Ambodivoara",3,1000,0.000148597747270534,148.597747270534
"13","Ambodivoara_4",21,20,24,"Ambodivoara",4,1000,0.000109219344243842,109.219344243842
"14","Ambodivoara_5",0,0,3,"Ambodivoara",5,1000,0,0
"15","AmbodivohitraKobahina_1",4,4,3,"AmbodivohitraKobahina",1,1000,0.000166429476942998,166.429476942998
"16","AmbodivohitraKobahina_2",5,5,3,"AmbodivohitraKobahina",2,1000,0.000208036846178747,208.036846178747
"17","AmbodivohitraKobahina_3",8,8,3,"AmbodivohitraKobahina",3,1000,0.000332858953885995,332.858953885995
"18","Androfiabe_1",15,15,8,"Androfiabe",1,1175,0.00019918421442646,199.18421442646
"19","Androfiabe_2",19,19,8,"Androfiabe",2,1250,0.000237162004643772,237.162004643772
"20","Androfiabe_3",15,15,8,"Androfiabe",3,1100,0.000212764956319173,212.764956319173
"21","Antanambe_1",16,12,3,"Antanambe",1,1000,0.000665717907771991,665.717907771991
"22","Antanambe_2",2,2,3,"Antanambe",2,1000,8.32147384714989e-05,83.2147384714989
"23","Antanambe_3",2,2,3,"Antanambe",3,1000,8.32147384714989e-05,83.2147384714989
"24","Befamatra_1",3,3,3,"Befamatra",1,635,0.000196570248357871,196.570248357871
"25","Befamatra_2",2,2,3,"Befamatra",2,1065,7.8135904668074e-05,78.135904668074
"26","Befamatra_3",2,2,3,"Befamatra",3,780,0.000106685562142947,106.685562142947
"27","Betaolana_1",1,1,3,"Betaolana",1,1300,3.20056686428842e-05,32.0056686428842
"28","Betaolana_2",9,9,3,"Betaolana",2,1000,0.000374466323121745,374.466323121745
"29","Betaolana_3",2,2,3,"Betaolana",3,1200,6.93456153929157e-05,69.3456153929157
