"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",0,0,3,"Ambavala",1,1000,0,0
"2","Ambavala_2",0,0,4,"Ambavala",2,1000,0,0
"3","Ambavala_3",0,0,3,"Ambavala",3,1000,0,0
"4","Ambodihasina_1",0,0,4,"Ambodihasina",1,1000,0,0
"5","Ambodihasina_2",0,0,4,"Ambodihasina",2,1000,0,0
"6","Ambodihasina_3",3,1,4,"Ambodihasina",3,1000,5.96054180156096e-05,59.6054180156096
"7","Ambodimandresy_1",0,0,4,"Ambodimandresy",1,1000,0,0
"8","Ambodimandresy_2",0,0,4,"Ambodimandresy",2,1000,0,0
"9","Ambodimandresy_3",6,2,4,"Ambodimandresy",3,1000,0.000119210836031219,119.210836031219
"10","Ambodivoara_1",22,9,48,"Ambodivoara",1,860,4.23552711997226e-05,42.3552711997226
"11","Ambodivoara_2",21,11,45,"Ambodivoara",2,1000,3.70878156541571e-05,37.0878156541571
"12","Ambodivoara_3",37,16,41,"Ambodivoara",3,1000,7.17203403765058e-05,71.7203403765058
"13","Ambodivoara_4",17,7,41,"Ambodivoara",4,1000,3.29525888216378e-05,32.9525888216378
"14","Ambodivoara_5",4,1,2,"Ambodivoara",5,1000,0.000158947781374959,158.947781374959
"15","AmbodivohitraKobahina_1",0,0,3,"AmbodivohitraKobahina",1,1000,0,0
"16","AmbodivohitraKobahina_2",0,0,4,"AmbodivohitraKobahina",2,1000,0,0
"17","AmbodivohitraKobahina_3",0,0,3,"AmbodivohitraKobahina",3,1000,0,0
"18","Androfiabe_1",0,0,4,"Androfiabe",1,1175,0,0
"19","Androfiabe_2",8,1,4,"Androfiabe",2,1250,0.000127158225099967,127.158225099967
"20","Androfiabe_3",0,0,4,"Androfiabe",3,1100,0,0
"21","Antanambe_1",0,0,4,"Antanambe",1,1000,0,0
"22","Antanambe_2",0,0,4,"Antanambe",2,1000,0,0
"23","Antanambe_3",0,0,4,"Antanambe",3,1000,0,0
"24","Befamatra_1",10,3,4,"Befamatra",1,635,0.000312889333415273,312.889333415273
"25","Befamatra_2",0,0,4,"Befamatra",2,1065,0,0
"26","Befamatra_3",3,2,3,"Befamatra",3,780,0.000101889603445486,101.889603445486
"27","Betaolana_1",0,0,5,"Betaolana",1,1300,0,0
"28","Betaolana_2",0,0,3,"Betaolana",2,1000,0,0
"29","Betaolana_3",0,0,4,"Betaolana",3,1200,0,0
